Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Pretraining Subsample
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.005 [0.003, 0.009]","0.006 [0.003, 0.01]","-0.0 [-0.002, 0.001]",0.5424,0.8
auprc,CLMBR_DAPT,CLMBR,"0.272 [0.125, 0.415]","0.255 [0.117, 0.387]","0.015 [-0.003, 0.038]",0.1216,0.05
auprc_c,CLMBR_DAPT,CLMBR,"0.826 [0.772, 0.877]","0.817 [0.771, 0.868]","0.009 [-0.009, 0.021]",0.229,0.05
auroc,CLMBR_DAPT,CLMBR,"0.837 [0.768, 0.887]","0.828 [0.775, 0.875]","0.009 [-0.016, 0.022]",0.3764,0.05
ece,CLMBR_DAPT,CLMBR,"0.007 [0.004, 0.011]","0.007 [0.004, 0.012]","-0.0 [-0.002, 0.001]",0.8606,0.05
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.262 [0.116, 0.402]","0.279 [0.129, 0.42]","-0.016 [-0.042, 0.007]",0.1968,0.1
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.825 [0.781, 0.875]","0.828 [0.774, 0.879]","-0.002 [-0.018, 0.016]",0.8622,0.1
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.836 [0.783, 0.884]","0.838 [0.77, 0.889]","-0.0 [-0.017, 0.024]",0.9908,0.1
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.006 [0.004, 0.01]","0.006 [0.004, 0.011]","-0.0 [-0.002, 0.001]",0.6186,0.1
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.246 [0.104, 0.383]","0.272 [0.125, 0.415]","-0.025 [-0.055, -0.002]",0.0276,0.05
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.818 [0.777, 0.868]","0.826 [0.772, 0.877]","-0.007 [-0.024, 0.014]",0.4364,0.05
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.833 [0.787, 0.88]","0.837 [0.768, 0.887]","-0.003 [-0.021, 0.031]",0.8492,0.05
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.006 [0.003, 0.01]","0.007 [0.004, 0.011]","-0.0 [-0.002, 0.001]",0.5168,0.05
auprc,CLMBR_MIMIC,CLMBR,"0.284 [0.129, 0.429]","0.255 [0.117, 0.387]","0.028 [0.002, 0.055]",0.0276,0.4
auprc_c,CLMBR_MIMIC,CLMBR,"0.833 [0.789, 0.883]","0.817 [0.771, 0.868]","0.016 [-0.001, 0.032]",0.0732,0.4
auroc,CLMBR_MIMIC,CLMBR,"0.845 [0.794, 0.892]","0.828 [0.775, 0.875]","0.017 [0.003, 0.031]",0.0284,0.4
ece,CLMBR_MIMIC,CLMBR,"0.006 [0.003, 0.011]","0.007 [0.004, 0.012]","-0.001 [-0.003, 0.001]",0.524,0.4
auprc,CLMBR_DAPT,CLMBR,"0.288 [0.128, 0.438]","0.255 [0.117, 0.387]","0.032 [0.009, 0.057]",0.0018,0.8
auprc_c,CLMBR_DAPT,CLMBR,"0.838 [0.79, 0.887]","0.817 [0.771, 0.868]","0.022 [0.009, 0.034]",0.002,0.8
auroc,CLMBR_DAPT,CLMBR,"0.848 [0.782, 0.896]","0.828 [0.775, 0.875]","0.02 [0.004, 0.03]",0.0242,0.8
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.01]","0.007 [0.004, 0.012]","-0.001 [-0.004, 0.0]",0.224,0.8
