Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc_c,CLMBR_DAPT,GBM,"0.684 [0.633, 0.741]","0.551 [0.532, 0.57]","0.133 [0.099, 0.17]",0.0,8
auroc,CLMBR_DAPT,GBM,"0.704 [0.647, 0.761]","0.561 [0.538, 0.583]","0.143 [0.105, 0.181]",0.0,8
ece,CLMBR_DAPT,GBM,"0.017 [0.008, 0.03]","0.055 [0.042, 0.07]","-0.038 [-0.044, -0.032]",0.0,8
auprc,CLMBR,CLMBR_MIMIC,"0.096 [0.035, 0.181]","0.121 [0.045, 0.219]","-0.024 [-0.04, -0.01]",0.0,8
auprc_c,CLMBR,CLMBR_MIMIC,"0.633 [0.596, 0.681]","0.678 [0.637, 0.726]","-0.045 [-0.059, -0.027]",0.0,8
auroc,CLMBR,CLMBR_MIMIC,"0.646 [0.608, 0.699]","0.698 [0.647, 0.747]","-0.05 [-0.072, -0.024]",0.0,8
ece,CLMBR,CLMBR_MIMIC,"0.015 [0.007, 0.028]","0.015 [0.007, 0.029]","-0.0 [-0.002, 0.0]",0.342,8
auprc,CLMBR,GBM,"0.09 [0.034, 0.184]","0.06 [0.018, 0.135]","0.031 [0.013, 0.054]",0.0,4
auprc_c,CLMBR,GBM,"0.612 [0.579, 0.653]","0.522 [0.511, 0.534]","0.09 [0.067, 0.12]",0.0,4
auroc,CLMBR,GBM,"0.621 [0.583, 0.664]","0.529 [0.51, 0.55]","0.092 [0.068, 0.118]",0.0,4
ece,CLMBR,GBM,"0.018 [0.009, 0.034]","0.184 [0.135, 0.254]","-0.165 [-0.22, -0.125]",0.0,4
auprc,CLMBR,CLMBR_MIMIC,"0.114 [0.041, 0.212]","0.137 [0.054, 0.24]","-0.022 [-0.035, -0.01]",0.0,16
auprc_c,CLMBR,CLMBR_MIMIC,"0.665 [0.628, 0.714]","0.706 [0.657, 0.763]","-0.041 [-0.059, -0.02]",0.0,16
auroc,CLMBR,CLMBR_MIMIC,"0.682 [0.643, 0.73]","0.728 [0.668, 0.787]","-0.046 [-0.067, -0.02]",0.0,16
ece,CLMBR,CLMBR_MIMIC,"0.015 [0.007, 0.027]","0.014 [0.006, 0.027]","0.001 [-0.001, 0.003]",0.3858,16
auprc,CLMBR,GBM,"0.19 [0.076, 0.308]","0.231 [0.095, 0.387]","-0.038 [-0.116, 0.004]",0.1424,1024
auprc_c,CLMBR,GBM,"0.753 [0.702, 0.82]","0.763 [0.702, 0.837]","-0.008 [-0.02, 0.002]",0.1278,1024
auroc,CLMBR,GBM,"0.768 [0.708, 0.835]","0.775 [0.706, 0.842]","-0.007 [-0.02, 0.008]",0.3754,1024
ece,CLMBR,GBM,"0.015 [0.01, 0.022]","0.017 [0.009, 0.027]","-0.002 [-0.006, 0.002]",0.4264,1024
auprc,CLMBR_DAPT,GBM,"0.109 [0.044, 0.203]","0.06 [0.018, 0.135]","0.051 [0.023, 0.08]",0.0,4
auprc_c,CLMBR_DAPT,GBM,"0.65 [0.607, 0.689]","0.522 [0.511, 0.534]","0.128 [0.093, 0.16]",0.0,4
auroc,CLMBR_DAPT,GBM,"0.658 [0.608, 0.7]","0.529 [0.51, 0.55]","0.128 [0.09, 0.162]",0.0,4
ece,CLMBR_DAPT,GBM,"0.021 [0.01, 0.04]","0.184 [0.135, 0.254]","-0.162 [-0.214, -0.124]",0.0,4
